 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: zsredfgv - sdfgsdzg (17-01-2005)
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 1105962776 
  Concrete cover: xc = N(50.000,7.000)
  Diffusion Coefficient: Dcoef = N(3.000,0.500)
  Critical Chloride Concenrtration: Ccr = N(0.150,0.030)
  Surface Chloride Concenrtration: Cs = N(1.200,0.200)
  Age exponent: n = N(0.400,0.010)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  5.4421  0.0000 
  5  0.0000  0.0000000e+000  4.2936  0.0009 
  10  0.0000  0.0000000e+000  3.6102  0.0153 
  15  0.0800  2.8272955e-004  3.1508  0.0814 
  20  0.3200  5.6477960e-004  2.7982  0.2570 
  25  0.6500  8.0360127e-004  2.5098  0.6040 
  30  1.1700  1.0753190e-003  2.2649  1.1758 
  35  2.0100  1.4034240e-003  2.0518  2.0093 
  40  3.0800  1.7277546e-003  1.8630  3.1233 
  45  4.4900  2.0708450e-003  1.6933  4.5198 
  50  6.1700  2.4060987e-003  1.5393  6.1870 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   0            2.15888191e+001    5.73462883e+001    3.57574692e+001 
      2   0            1.34792549e+001    4.25400495e+001    2.90607946e+001 
      3   0            1.02022095e+001    4.65448253e+001    3.63426157e+001 
      4   0            1.75131499e+001    5.07768315e+001    3.32636816e+001 
      5   0            2.94595126e+001    6.24718767e+001    3.30123641e+001 
      6   0            2.38863856e+001    5.93181379e+001    3.54317523e+001 
      7   0            1.87108884e+001    5.04456487e+001    3.17347603e+001 
      8   0            1.66680553e+001    5.69559496e+001    4.02878944e+001 
      9   0            2.84110753e+001    5.98214456e+001    3.14103703e+001 
     10   0            1.53568653e+001    5.32078748e+001    3.78510094e+001 
     11   0            1.34799336e+001    4.95603436e+001    3.60804099e+001 
     12   0            1.10944175e+001    5.55762092e+001    4.44817917e+001 
     13   0            1.84107060e+001    5.28243942e+001    3.44136882e+001 
     14   0            1.10514206e+001    5.19788110e+001    4.09273904e+001 
     15   0            1.02403123e+001    4.47738070e+001    3.45334947e+001 
     16   0            1.66599471e+001    5.58093090e+001    3.91493618e+001 
     17   0            1.49581194e+001    5.05395820e+001    3.55814626e+001 
     18   0            2.78469087e+001    5.69415158e+001    2.90946071e+001 
     19   0            7.00372165e+000    4.83268371e+001    4.13231155e+001 
     20   0            6.94677797e+000    4.77113126e+001    4.07645346e+001 
     21   0            7.39415289e+000    4.57214290e+001    3.83272761e+001 
     22   0            9.77853490e+000    5.06034953e+001    4.08249604e+001 
     23   0            1.36135341e+001    5.82244655e+001    4.46109313e+001 
     24   0            1.01165686e+001    5.37967818e+001    4.36802132e+001 
     25   0            2.08127247e+001    5.70088548e+001    3.61961302e+001 
     26   0            9.70446384e+000    4.81517868e+001    3.84473229e+001 
     27   0            1.22101577e+001    5.96739742e+001    4.74638165e+001 
     28   1           -1.45776581e-001    3.90778527e+001    3.92236293e+001 
     29   0            2.50523105e+001    5.60240563e+001    3.09717458e+001 
     30   0            5.36558098e+000    4.95832676e+001    4.42176866e+001 
     31   0            1.57377855e+001    5.76067997e+001    4.18690142e+001 
     32   0            1.98899116e+001    5.08516901e+001    3.09617785e+001 
     33   0            1.91046339e+000    3.78009398e+001    3.58904764e+001 
     34   0            2.42115970e+001    5.74311593e+001    3.32195622e+001 
     35   0            2.47391008e+001    5.71025601e+001    3.23634594e+001 
     36   0            1.21087675e+001    4.98048012e+001    3.76960337e+001 
     37   0            1.53071269e+001    4.88872960e+001    3.35801691e+001 
     38   0            2.40737672e+001    6.05954725e+001    3.65217053e+001 
     39   0            1.82376998e+001    5.28686937e+001    3.46309939e+001 
     40   0            1.20573734e+001    4.65894720e+001    3.45320985e+001 
