 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  6.1095  0.0000 
  5  0.3500  5.9057176e-004  2.9550  0.1563 
  10  6.6200  2.4863137e-003  1.5667  5.8596 
  15  19.4100  3.9550625e-003  0.8302  20.3200 
  20  33.8500  4.7319948e-003  0.3547  36.1399 
  25  46.4300  4.9872388e-003  0.0154  49.3866 
  30  56.9700  4.9511808e-003  -0.2422  59.5685 
  35  64.9300  4.7718918e-003  -0.4461  67.2238 
  40  71.7300  4.5031179e-003  -0.6126  72.9916 
  45  76.8200  4.2198194e-003  -0.7517  77.3871 
  50  80.7300  3.9441946e-003  -0.8701  80.7866 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   1           -1.62370023e+001    4.62728198e+001    6.25098222e+001 
      2   1           -2.14545107e+001    5.21320372e+001    7.35865479e+001 
      3   0            1.64550000e+000    5.02521696e+001    4.86066696e+001 
      4   1           -1.62434619e+001    5.99040531e+001    7.61475149e+001 
      5   1           -1.89658356e+001    5.65211577e+001    7.54869933e+001 
      6   0            8.85901959e-001    6.29463233e+001    6.20604213e+001 
      7   1           -5.38065186e+001    5.67631650e+001    1.10569684e+002 
      8   1           -2.90923740e+001    5.93592103e+001    8.84515843e+001 
      9   0            1.70050988e+001    6.33772506e+001    4.63721518e+001 
     10   1           -3.75486049e+000    5.14010267e+001    5.51558872e+001 
     11   0            2.19433001e+001    6.62264153e+001    4.42831152e+001 
     12   1           -7.30057538e+000    5.07520505e+001    5.80526259e+001 
     13   1           -3.64209183e+001    4.65494246e+001    8.29703429e+001 
     14   1           -2.28291293e+001    5.59910745e+001    7.88202038e+001 
     15   0            8.34157433e+000    5.68446706e+001    4.85030963e+001 
     16   0            3.74142079e+000    5.27873127e+001    4.90458920e+001 
     17   1           -2.75303975e+001    4.68215712e+001    7.43519687e+001 
     18   1           -3.39666599e+001    5.00563379e+001    8.40229978e+001 
     19   1           -4.63813232e+001    5.76803777e+001    1.04061701e+002 
     20   0            3.55472423e+000    5.44125571e+001    5.08578329e+001 
     21   1           -1.70905235e+001    4.84188569e+001    6.55093804e+001 
     22   1           -3.30759641e+001    5.57442792e+001    8.88202433e+001 
     23   1           -1.82396919e+001    4.69414368e+001    6.51811286e+001 
     24   0            1.93932319e+000    5.31870944e+001    5.12477713e+001 
     25   1           -1.98240219e+001    5.41846778e+001    7.40086997e+001 
     26   1           -2.40972375e+001    5.29695722e+001    7.70668097e+001 
     27   1           -7.50005117e+000    5.69262515e+001    6.44263027e+001 
     28   0            1.55671903e+001    6.21405583e+001    4.65733680e+001 
     29   1           -9.44955039e+000    5.73381506e+001    6.67877009e+001 
     30   1           -1.20961806e+001    5.71829915e+001    6.92791721e+001 
     31   1           -2.79517853e+001    5.49347049e+001    8.28864901e+001 
     32   1           -1.78400625e+001    6.75218589e+001    8.53619214e+001 
     33   1           -7.19973977e+000    5.94392002e+001    6.66389400e+001 
     34   1           -5.40919748e+001    4.96227663e+001    1.03714741e+002 
     35   1           -9.41708851e+000    4.98856484e+001    5.93027369e+001 
     36   1           -4.39858999e+000    5.64994199e+001    6.08980099e+001 
     37   0            1.18594193e+000    5.65437846e+001    5.53578427e+001 
     38   1           -7.91158552e+000    4.94529363e+001    5.73645218e+001 
     39   1           -6.02274988e+000    5.82442925e+001    6.42670424e+001 
