 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: example5
Project name: Example Project - 3 ( 20040305 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  6.2307  0.0000 
  5  0.2600  5.0923865e-004  3.1028  0.0958 
  10  5.1900  2.2182513e-003  1.7054  4.4062 
  15  16.2200  3.6863418e-003  0.9587  16.8846 
  20  29.5600  4.5631200e-003  0.4746  31.7531 
  25  41.8500  4.9331303e-003  0.1282  44.9009 
  30  52.2700  4.9948444e-003  -0.1353  55.3827 
  35  60.9900  4.8777248e-003  -0.3443  63.4681 
  40  67.6400  4.6784938e-003  -0.5151  69.6747 
  45  73.5100  4.4127995e-003  -0.6579  74.4713 
  50  77.8100  4.1552424e-003  -0.7797  78.2211 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   1           -1.47281363e+001    4.62728198e+001    6.10009562e+001 
      2   1           -1.96782741e+001    5.21320372e+001    7.18103113e+001 
      3   0            2.81877081e+000    5.02521696e+001    4.74333988e+001 
      4   1           -1.44054084e+001    5.99040531e+001    7.43094615e+001 
      5   1           -1.71437258e+001    5.65211577e+001    7.36648835e+001 
      6   0            2.38392026e+000    6.29463233e+001    6.05624030e+001 
      7   1           -5.11375807e+001    5.67631650e+001    1.07900746e+002 
      8   1           -2.69573242e+001    5.93592103e+001    8.63165344e+001 
      9   0            1.81244327e+001    6.33772506e+001    4.52528179e+001 
     10   1           -2.42350426e+000    5.14010267e+001    5.38245310e+001 
     11   0            2.30122087e+001    6.62264153e+001    4.32142066e+001 
     12   1           -5.89929749e+000    5.07520505e+001    5.66513480e+001 
     13   1           -3.44181750e+001    4.65494246e+001    8.09675996e+001 
     14   1           -2.09265624e+001    5.59910745e+001    7.69176369e+001 
     15   0            9.51234508e+000    5.68446706e+001    4.73323255e+001 
     16   0            4.92529358e+000    5.27873127e+001    4.78620192e+001 
     17   1           -2.57356851e+001    4.68215712e+001    7.25572563e+001 
     18   1           -3.19385075e+001    5.00563379e+001    8.19948454e+001 
     19   1           -4.38694754e+001    5.76803777e+001    1.01549853e+002 
     20   0            4.78233376e+000    5.44125571e+001    4.96302233e+001 
     21   1           -1.55092540e+001    4.84188569e+001    6.39281109e+001 
     22   1           -3.09320155e+001    5.57442792e+001    8.66762947e+001 
     23   1           -1.66663457e+001    4.69414368e+001    6.36077825e+001 
     24   0            3.17634507e+000    5.31870944e+001    5.00107494e+001 
     25   1           -1.80375953e+001    5.41846778e+001    7.22222731e+001 
     26   1           -2.22369940e+001    5.29695722e+001    7.52065663e+001 
     27   1           -5.94492507e+000    5.69262515e+001    6.28711766e+001 
     28   0            1.66913812e+001    6.21405583e+001    4.54491771e+001 
     29   1           -7.83742472e+000    5.73381506e+001    6.51755753e+001 
     30   1           -1.04239156e+001    5.71829915e+001    6.76069071e+001 
     31   1           -2.59510660e+001    5.49347049e+001    8.08857709e+001 
     32   1           -1.57795911e+001    6.75218589e+001    8.33014501e+001 
     33   1           -5.59120490e+000    5.94392002e+001    6.50304051e+001 
     34   1           -5.15885020e+001    4.96227663e+001    1.01211268e+002 
     35   1           -7.98563536e+000    4.98856484e+001    5.78712837e+001 
     36   1           -2.92863005e+000    5.64994199e+001    5.94280499e+001 
     37   0            2.52217297e+000    5.65437846e+001    5.40216116e+001 
     38   1           -6.52691713e+000    4.94529363e+001    5.59798534e+001 
     39   1           -4.47146802e+000    5.82442925e+001    6.27157605e+001 
