 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: New Project 01 - This is a test routine ( 20040109 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 5000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = N(1.050,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.400,0.040)
  Surface Chloride Concenrtration: Cs = N(2.500,0.250)
  Age exponent: n = N(0.600,0.050)
  Time: t = D(80.000,0.000)
  Time of testing: to = D(90.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  80  0.0000  0.0000000e+000  6.4091  0.0000 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   0            3.11311746e+001    4.62728198e+001    1.51416452e+001 
      2   0            3.48082525e+001    5.21320372e+001    1.73237847e+001 
      3   0            3.75452798e+001    5.02521696e+001    1.27068899e+001 
      4   0            4.06770645e+001    5.99040531e+001    1.92269886e+001 
      5   0            3.77671387e+001    5.65211577e+001    1.87540189e+001 
      6   0            4.79775274e+001    6.29463233e+001    1.49687959e+001 
      7   0            3.10233808e+001    5.67631650e+001    2.57397842e+001 
      8   0            3.90943342e+001    5.93592103e+001    2.02648760e+001 
      9   0            5.09680963e+001    6.33772506e+001    1.24091543e+001 
     10   0            3.76034188e+001    5.14010267e+001    1.37976079e+001 
     11   0            5.58842714e+001    6.62264153e+001    1.03421439e+001 
     12   0            3.65609456e+001    5.07520505e+001    1.41911049e+001 
     13   0            2.61155869e+001    4.65494246e+001    2.04338377e+001 
     14   0            3.57024172e+001    5.59910745e+001    2.02886573e+001 
     15   0            4.45682232e+001    5.68446706e+001    1.22764474e+001 
     16   0            4.05079576e+001    5.27873127e+001    1.22793552e+001 
     17   0            2.87315727e+001    4.68215712e+001    1.80899985e+001 
     18   0            2.90705014e+001    5.00563379e+001    2.09858365e+001 
     19   0            3.23022205e+001    5.76803777e+001    2.53781572e+001 
     20   0            4.17798076e+001    5.44125571e+001    1.26327495e+001 
     21   0            3.24522754e+001    4.84188569e+001    1.59665816e+001 
     22   0            3.44817134e+001    5.57442792e+001    2.12625658e+001 
     23   0            3.03434539e+001    4.69414368e+001    1.65979829e+001 
     24   0            4.00170762e+001    5.31870944e+001    1.31700182e+001 
     25   0            3.54081755e+001    5.41846778e+001    1.87765023e+001 
     26   0            3.44526139e+001    5.29695722e+001    1.85169584e+001 
     27   0            4.17206781e+001    5.69262515e+001    1.52055735e+001 
     28   0            4.95320956e+001    6.21405583e+001    1.26084627e+001 
     29   0            4.07079236e+001    5.73381506e+001    1.66302270e+001 
     30   0            3.99482254e+001    5.71829915e+001    1.72347661e+001 
     31   0            3.35450389e+001    5.49347049e+001    2.13896660e+001 
     32   0            4.75539399e+001    6.75218589e+001    1.99679190e+001 
     33   0            4.23857205e+001    5.94392002e+001    1.70534798e+001 
     34   0            2.41905220e+001    4.96227663e+001    2.54322443e+001 
     35   0            3.46917566e+001    4.98856484e+001    1.51938918e+001 
     36   0            4.20672469e+001    5.64994199e+001    1.44321730e+001 
     37   0            4.24826503e+001    5.65437846e+001    1.40611343e+001 
     38   0            3.51371579e+001    4.94529363e+001    1.43157784e+001 
     39   0            4.22282839e+001    5.82442925e+001    1.60160086e+001 
     40   0            3.20841604e+001    5.01844579e+001    1.81002975e+001 
     41   0            4.21573443e+001    5.87019724e+001    1.65446281e+001 
     42   0            5.14549024e+001    6.47207684e+001    1.32658660e+001 
     43   0            3.99522348e+001    5.71412686e+001    1.71890338e+001 
     44   0            3.68503517e+001    5.69112525e+001    2.00609008e+001 
     45   0            3.21123893e+001    4.77770874e+001    1.56646980e+001 
     46   0            4.11531778e+001    5.28675732e+001    1.17143954e+001 
     47   0            3.69483802e+001    5.32561203e+001    1.63077402e+001 
     48   0            3.49589443e+001    5.84380229e+001    2.34790786e+001 
     49   0            4.40327993e+001    5.96513073e+001    1.56185080e+001 
