 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                       Release v2.2 - January 2004                        
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: ..\datafiles\j
Project name: New Project 01 - This is a test routine ( 20040109 )
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 5000 
  Initial seed: i = 123456789 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = N(1.050,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.400,0.040)
  Surface Chloride Concenrtration: Cs = N(2.500,0.250)
  Age exponent: n = N(0.600,0.050)
  Time: t = D(80.000,0.000)
  Time of testing: to = D(90.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  80  0.0000  0.0000000e+000  6.5247  0.0000 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   0            3.14966646e+001    4.62728198e+001    1.47761553e+001 
      2   0            3.52264151e+001    5.21320372e+001    1.69056221e+001 
      3   0            3.78519994e+001    5.02521696e+001    1.24001702e+001 
      4   0            4.11411667e+001    5.99040531e+001    1.87628863e+001 
      5   0            3.82198244e+001    5.65211577e+001    1.83013333e+001 
      6   0            4.83388451e+001    6.29463233e+001    1.46074781e+001 
      7   0            3.16446893e+001    5.67631650e+001    2.51184757e+001 
      8   0            3.95834891e+001    5.93592103e+001    1.97757212e+001 
      9   0            5.12676292e+001    6.33772506e+001    1.21096213e+001 
     10   0            3.79364663e+001    5.14010267e+001    1.34645604e+001 
     11   0            5.61339107e+001    6.62264153e+001    1.00925046e+001 
     12   0            3.69034913e+001    5.07520505e+001    1.38485592e+001 
     13   0            2.66088201e+001    4.65494246e+001    1.99406045e+001 
     14   0            3.61921461e+001    5.59910745e+001    1.97989284e+001 
     15   0            4.48645529e+001    5.68446706e+001    1.19801177e+001 
     16   0            4.08043574e+001    5.27873127e+001    1.19829554e+001 
     17   0            2.91682302e+001    4.68215712e+001    1.76533410e+001 
     18   0            2.95770588e+001    5.00563379e+001    2.04792791e+001 
     19   0            3.29148000e+001    5.76803777e+001    2.47655776e+001 
     20   0            4.20847377e+001    5.44125571e+001    1.23278194e+001 
     21   0            3.28376777e+001    4.84188569e+001    1.55811792e+001 
     22   0            3.49949505e+001    5.57442792e+001    2.07493286e+001 
     23   0            3.07440970e+001    4.69414368e+001    1.61973397e+001 
     24   0            4.03349749e+001    5.31870944e+001    1.28521195e+001 
     25   0            3.58614038e+001    5.41846778e+001    1.83232740e+001 
     26   0            3.48995774e+001    5.29695722e+001    1.80699949e+001 
     27   0            4.20877111e+001    5.69262515e+001    1.48385404e+001 
     28   0            4.98364395e+001    6.21405583e+001    1.23041188e+001 
     29   0            4.11093450e+001    5.73381506e+001    1.62288055e+001 
     30   0            4.03642392e+001    5.71829915e+001    1.68187522e+001 
     31   0            3.40613440e+001    5.49347049e+001    2.08733609e+001 
     32   0            4.80359267e+001    6.75218589e+001    1.94859322e+001 
     33   0            4.27973584e+001    5.94392002e+001    1.66418418e+001 
     34   0            2.48044071e+001    4.96227663e+001    2.48183592e+001 
     35   0            3.50585077e+001    4.98856484e+001    1.48271407e+001 
     36   0            4.24156116e+001    5.64994199e+001    1.40838083e+001 
     37   0            4.28220588e+001    5.65437846e+001    1.37217258e+001 
     38   0            3.54827130e+001    4.94529363e+001    1.39702232e+001 
     39   0            4.26148793e+001    5.82442925e+001    1.56294132e+001 
     40   0            3.25210665e+001    5.01844579e+001    1.76633914e+001 
     41   0            4.25566995e+001    5.87019724e+001    1.61452728e+001 
     42   0            5.17751147e+001    6.47207684e+001    1.29456537e+001 
     43   0            4.03671447e+001    5.71412686e+001    1.67741238e+001 
     44   0            3.73345830e+001    5.69112525e+001    1.95766695e+001 
     45   0            3.24905048e+001    4.77770874e+001    1.52865826e+001 
     46   0            4.14359406e+001    5.28675732e+001    1.14316326e+001 
     47   0            3.73420174e+001    5.32561203e+001    1.59141029e+001 
     48   0            3.55256838e+001    5.84380229e+001    2.29123392e+001 
