 
 ________________________________________________________________________ 
                                                                          
                              D U R A C O N                               
                                                                          
         Durability of Concrete Structures in Marine Environment          
                                                                          
                        Release v1.0 - March 2004                         
          Department of Civil Engineering - University of Minho           
 ________________________________________________________________________ 
 
File name: simulation
Project name: Example Project - 3 (20040305)
 
 
 ##### Input Data ##### 
 ________________________________________________________________________ 
 
  Number of simulations: n = 10000 
  Initial seed: i = 1269965289 
  Concrete cover: xc = N(55.000,5.000)
  Diffusion Coefficient: Dcoef = LN(1.850,0.230)
  Critical Chloride Concenrtration: Ccr = N(0.080,0.015)
  Surface Chloride Concenrtration: Cs = N(0.856,0.117)
  Age exponent: n = N(0.370,0.050)
  Time: t = D(0.000,50.000)
  Time of testing: to = D(28.000) 
 
 ##### Output Data ##### 
 ________________________________________________________________________ 
 
  Time     Prob.       Std.            Beta            Prob. Failure
  (years)  Failure     Error           Index           (Beta Index) 
 
  1  0.0000  0.0000000e+000  6.0540  0.0000 
  5  0.3400  5.8210308e-004  2.9189  0.1756 
  10  6.9600  2.5447169e-003  1.5510  6.0450 
  15  19.5000  3.9620071e-003  0.8255  20.4533 
  20  33.5400  4.7213011e-003  0.3565  36.0735 
  25  46.0200  4.9841344e-003  0.0213  49.1518 
  30  56.4000  4.9588708e-003  -0.2336  59.2337 
  35  64.5400  4.7839193e-003  -0.4356  66.8429 
  40  70.7100  4.5509295e-003  -0.6007  72.5982 
  45  75.7400  4.2865515e-003  -0.7389  77.0004 
  50  80.0400  3.9969969e-003  -0.8566  80.4164 
 
 
 ##### I, G, R & S #####
 ________________________________________________________________________ 
 
  Index   Indicator    Failure            Resistance         Load         
          Function (I) Function (G)       Variable (R)       Variable (S) 

      1   1           -2.62422228e+001    5.00792673e+001    7.63214901e+001 
      2   1           -2.89503754e+001    5.68792636e+001    8.58296390e+001 
      3   1           -4.02729881e+001    5.49823715e+001    9.52553596e+001 
      4   1           -1.36112207e+001    5.24858646e+001    6.60970853e+001 
      5   1           -1.48759929e+001    4.96625082e+001    6.45385011e+001 
      6   1           -2.61482425e+000    5.25974595e+001    5.52122838e+001 
      7   1           -3.74999038e+001    5.78300642e+001    9.53299680e+001 
      8   1           -3.98382755e+000    5.64513578e+001    6.04351853e+001 
      9   1           -8.18944298e+000    5.72300698e+001    6.54195128e+001 
     10   0            9.60650612e+000    5.40430576e+001    4.44365514e+001 
     11   0            4.04836493e+000    5.37257385e+001    4.96773736e+001 
     12   1           -4.39316872e+001    6.42808748e+001    1.08212562e+002 
     13   1           -2.96341574e+001    5.15237438e+001    8.11579012e+001 
     14   1           -1.69973206e+001    5.37968435e+001    7.07941641e+001 
     15   1           -3.32770204e+001    5.21067963e+001    8.53838166e+001 
     16   1           -2.22478346e+001    4.92804503e+001    7.15282849e+001 
     17   1           -1.06490885e+000    6.67015129e+001    6.77664217e+001 
     18   1           -6.18404002e-001    5.24300442e+001    5.30484482e+001 
     19   1           -1.70418928e+001    6.26783517e+001    7.97202444e+001 
     20   1           -6.84854577e+000    5.92812091e+001    6.61297549e+001 
     21   0            8.53522280e-001    6.02803471e+001    5.94268248e+001 
     22   1           -2.13461161e+001    5.01106031e+001    7.14567193e+001 
     23   1           -2.05548957e+001    5.22994496e+001    7.28543453e+001 
     24   1           -3.53857877e+001    6.04617818e+001    9.58475694e+001 
     25   1           -8.64688645e+000    4.57778395e+001    5.44247260e+001 
     26   1           -5.23292666e+001    5.02825829e+001    1.02611849e+002 
     27   1           -4.92068282e+000    5.22889331e+001    5.72096159e+001 
     28   1           -2.70999630e+001    6.42228748e+001    9.13228378e+001 
     29   1           -2.42597021e+001    5.19470346e+001    7.62067367e+001 
     30   1           -3.21600961e+001    5.57546228e+001    8.79147189e+001 
     31   1           -9.23096313e+000    5.28233223e+001    6.20542855e+001 
     32   1           -1.42088198e-001    5.40222586e+001    5.41643468e+001 
     33   1           -6.89826625e+001    5.20743221e+001    1.21056985e+002 
     34   1           -6.75327085e-001    5.62933788e+001    5.69687059e+001 
     35   1           -1.44389268e+001    5.51985697e+001    6.96374964e+001 
     36   1           -9.20029625e+000    5.26826337e+001    6.18829299e+001 
     37   1           -2.65236180e+001    5.10166064e+001    7.75402244e+001 
     38   1           -9.43473200e+000    4.10966568e+001    5.05313888e+001 
     39   1           -1.30813416e+001    5.84590661e+001    7.15404077e+001 
