RESULTADOS;
nº;current stress(MPa);Final stress(MPa);Cracked ?;Coord (mm);L (mm);initial pos;Final pos;nº blocks;
 1;160;279,77477;False;0;0,00041667;1; 1;1;
 2;160;81,64854;True;0,00041667;0,1275;1; 306;306;
 3;160;190,58795;False;0;0,00083333;3; 4;2;
 4;160;263,51617;False;0,00041667;0,00083333;3; 4;2;
 5;160;115,31786;True;0,00083333;0,02916667;3; 72;70;
 6;160;185,09617;False;0;0,00125;6; 8;3;
 7;160;280,71502;False;0,00041667;0,00125;6; 8;3;
 8;160;250,29983;False;0,00083333;0,00125;6; 8;3;
 9;160;148,67895;True;0,00125;0,00291667;6; 12;7;
 10;160;151,61905;True;0;0,00125;10; 12;3;
 11;160;203,08421;False;0;0,00083333;11; 12;2;
 12;160;233,33636;False;0,00041667;0,00083333;11; 12;2;
 13;160;144,68284;True;0,00291667;0,00666667;6; 21;16;
 14;160;238,36338;False;0;0,00333333;14; 21;8;
 15;160;211,66981;False;0,00041667;0,00333333;14; 21;8;
 16;160;165,01815;False;0,00083333;0,00333333;14; 21;8;
 17;160;221,03757;False;0,00125;0,00333333;14; 21;8;
 18;160;170,75126;False;0,00166667;0,00333333;14; 21;8;
 19;160;213,72681;False;0,00208333;0,00333333;14; 21;8;
 20;160;203,96218;False;0,0025;0,00333333;14; 21;8;
 21;160;261,99605;False;0,00291667;0,00333333;14; 21;8;
 22;160;143,28569;True;0,00666667;0,015;6; 41;36;
 23;160;163,04744;False;0;0,00208333;23; 27;5;
 24;160;188,82079;False;0,00041667;0,00208333;23; 27;5;
 25;160;268,40522;False;0,00083333;0,00208333;23; 27;5;
 26;160;279,18884;False;0,00125;0,00208333;23; 27;5;
 27;160;223,39572;False;0,00166667;0,00208333;23; 27;5;
 28;160;149,85892;True;0,00208333;0,00791667;23; 41;19;
 29;160;234,91502;False;0;0,00541667;29; 41;13;
 30;160;222,66639;False;0,00041667;0,00541667;29; 41;13;
 31;160;230,76913;False;0,00083333;0,00541667;29; 41;13;
 32;160;205,01872;False;0,00125;0,00541667;29; 41;13;
 33;160;196,55798;False;0,00166667;0,00541667;29; 41;13;
 34;160;298,95429;False;0,00208333;0,00541667;29; 41;13;
 35;160;232,62534;False;0,0025;0,00541667;29; 41;13;
 36;160;229,62254;False;0,00291667;0,00541667;29; 41;13;
 37;160;209,07044;False;0,00333333;0,00541667;29; 41;13;
 38;160;180,26519;False;0,00375;0,00541667;29; 41;13;
 39;160;197,14896;False;0,00416667;0,00541667;29; 41;13;
 40;160;247,36156;False;0,00458333;0,00541667;29; 41;13;
 41;160;214,20149;False;0,005;0,00541667;29; 41;13;
 42;160;138,45037;True;0,015;0,01916667;6; 51;46;
 43;160;241,85017;False;0;0,00375;43; 51;9;
 44;160;199,25496;False;0,00041667;0,00375;43; 51;9;
 45;160;213,25001;False;0,00083333;0,00375;43; 51;9;
 46;160;235,62724;False;0,00125;0,00375;43; 51;9;
 47;160;303,15149;False;0,00166667;0,00375;43; 51;9;
 48;160;261,07419;False;0,00208333;0,00375;43; 51;9;
 49;160;259,62314;False;0,0025;0,00375;43; 51;9;
 50;160;264,10456;False;0,00291667;0,00375;43; 51;9;
 51;160;251,56261;False;0,00333333;0,00375;43; 51;9;
 52;160;128,15188;True;0,01916667;0,02;6; 53;48;
 53;160;178,91667;False;0;0,00041667;53; 53;1;
 54;160;124,02673;True;0,02;0,02791667;6; 72;67;
 55;160;218,64525;False;0;0,0075;55; 72;18;
 56;160;184,35879;False;0,00041667;0,0075;55; 72;18;
 57;160;186,9924;False;0,00083333;0,0075;55; 72;18;
 58;160;273,98507;False;0,00125;0,0075;55; 72;18;
 59;160;262,56625;False;0,00166667;0,0075;55; 72;18;
 60;160;255,47393;False;0,00208333;0,0075;55; 72;18;
 61;160;281,6891;False;0,0025;0,0075;55; 72;18;
 62;160;219,84614;False;0,00291667;0,0075;55; 72;18;
 63;160;178,07449;False;0,00333333;0,0075;55; 72;18;
 64;160;201,64826;False;0,00375;0,0075;55; 72;18;
 65;160;236,77537;False;0,00416667;0,0075;55; 72;18;
 66;160;288,39294;False;0,00458333;0,0075;55; 72;18;
 67;160;276,89202;False;0,005;0,0075;55; 72;18;
 68;160;226,88444;False;0,00541667;0,0075;55; 72;18;
 69;160;292,16886;False;0,00583333;0,0075;55; 72;18;
 70;160;270,86373;False;0,00625;0,0075;55; 72;18;
 71;160;237,21091;False;0,00666667;0,0075;55; 72;18;
 72;160;215,44515;False;0,00708333;0,0075;55; 72;18;
 73;160;96,20512;True;0,02916667;0,12666667;3; 306;304;
 74;160;252,84442;False;0;0,00375;74; 82;9;
 75;160;310,57402;False;0,00041667;0,00375;74; 82;9;
 76;160;195,57596;False;0,00083333;0,00375;74; 82;9;
 77;160;251,08225;False;0,00125;0,00375;74; 82;9;
 78;160;202,19549;False;0,00166667;0,00375;74; 82;9;
 79;160;205,35403;False;0,00208333;0,00375;74; 82;9;
 80;160;257,68161;False;0,0025;0,00375;74; 82;9;
 81;160;175,19255;False;0,00291667;0,00375;74; 82;9;
 82;160;260,5201;False;0,00333333;0,00375;74; 82;9;
 83;160;157,33921;True;0,00375;0,01458333;74; 108;35;
 84;160;323,45912;False;0;0,01041667;84; 108;25;
 85;160;225,72687;False;0,00041667;0,01041667;84; 108;25;
 86;160;314,14788;False;0,00083333;0,01041667;84; 108;25;
 87;160;256,82667;False;0,00125;0,01041667;84; 108;25;
 88;160;274,7575;False;0,00166667;0,01041667;84; 108;25;
 89;160;230,33512;False;0,00208333;0,01041667;84; 108;25;
 90;160;236,49662;False;0,0025;0,01041667;84; 108;25;
 91;160;179,74341;False;0,00291667;0,01041667;84; 108;25;
 92;160;252,35661;False;0,00333333;0,01041667;84; 108;25;
 93;160;197,73441;False;0,00375;0,01041667;84; 108;25;
 94;160;216,97223;False;0,00416667;0,01041667;84; 108;25;
 95;160;225,28721;False;0,00458333;0,01041667;84; 108;25;
 96;160;198,10659;False;0,005;0,01041667;84; 108;25;
 97;160;286,33914;False;0,00541667;0,01041667;84; 108;25;
